DATE,SPY US Equity
4/5/2018,271.876244
4/6/2018,265.8172643
4/9/2018,267.127314
4/10/2018,271.3747406
4/11/2018,269.9521086
4/12/2018,272.1730521
4/13/2018,271.3747406
4/16/2018,273.6059189
4/17/2018,276.5330612
4/18/2018,276.7377564
4/19/2018,275.202542
4/20/2018,272.869016
4/23/2018,272.828077
4/24/2018,269.153797
4/25/2018,269.8190566
4/26/2018,272.5619731
4/27/2018,272.8178422
4/30/2018,270.7197158
5/1/2018,271.2007496
5/2/2018,269.3789618
5/3/2018,268.7853456
5/4/2018,272.265165
5/7/2018,273.1862937
5/8/2018,273.1862937
5/9/2018,275.8268625
5/10/2018,278.4060228
5/11/2018,279.2555081
5/14/2018,279.38856
5/15/2018,277.4644246
5/16/2018,278.6311876
5/17/2018,278.395788
5/18/2018,277.6998241
5/21/2018,279.7877158
5/22/2018,279.0098738
5/23/2018,279.777481
5/24/2018,279.2043343
5/25/2018,278.5390747
5/29/2018,275.3355939
5/30/2018,279.0098738
5/31/2018,277.3006684
6/1/2018,280.0231153
6/4/2018,281.3536345
6/5/2018,281.5583298
6/6/2018,283.9123253
6/7/2018,283.881621
6/8/2018,284.7208716
6/11/2018,285.0995578
6/12/2018,285.4680092
6/13/2018,284.5571153
6/14/2018,285.2735488
6/15/2018,284.910796
6/18/2018,284.3247925
6/19/2018,283.2350316
6/20/2018,283.7182274
6/21/2018,281.9396554
6/22/2018,282.4536935
6/25/2018,278.608688
6/26/2018,279.2255338
6/27/2018,276.9123621
6/28/2018,278.4955996
6/29/2018,278.8965494
7/2/2018,279.4928337
7/3/2018,278.5058804
7/5/2018,280.7779291
7/6/2018,283.1527855
7/9/2018,285.7024148
7/10/2018,286.7304911
7/11/2018,284.6332154
7/12/2018,287.213687
7/13/2018,287.4398638
7/16/2018,287.1828447
7/17/2018,288.344571
7/18/2018,288.951136
7/19/2018,287.8613751
7/20/2018,287.5323907
7/23/2018,288.0669904
7/24/2018,289.516578
7/25/2018,291.9839612
7/26/2018,291.2951501
7/27/2018,289.3212435
7/30/2018,287.8099713
7/31/2018,289.2287166
8/1/2018,288.7455207
8/2/2018,290.3184775
8/3/2018,291.5624499
8/6/2018,292.6316493
8/7/2018,293.5980411
8/8/2018,293.4746719
8/9/2018,293.0737221
8/10/2018,291.1100963
8/13/2018,290.0203354
8/14/2018,291.8708728
8/15/2018,289.691351
8/16/2018,292.035365
8/17/2018,293.0634414
8/20/2018,293.6905679
8/21/2018,294.3793791
8/22/2018,294.2046061
8/23/2018,293.8139371
8/24/2018,295.5822284
8/27/2018,297.9159617
8/28/2018,298.0598924
8/29/2018,299.6636915
8/30/2018,298.4505614
8/31/2018,298.4608422
9/4/2018,297.946804
9/5/2018,297.1449044
9/6/2018,296.250478
9/7/2018,295.6747553
9/10/2018,296.1887934
9/11/2018,297.165466
9/12/2018,297.2374313
9/13/2018,298.9954419
9/14/2018,299.0468457
9/17/2018,297.4636081
9/18/2018,299.077688
9/19/2018,299.3963916
9/20/2018,301.8226518
9/21/2018,301.5477555
9/24/2018,300.5460043
9/25/2018,300.2671664
9/26/2018,299.3686885
9/27/2018,300.2052024
9/28/2018,300.2361844
10/1/2018,301.2792449
10/2/2018,301.1036802
10/3/2018,301.2689175
10/4/2018,298.9142859
10/5/2018,297.2412582
