Days Coefficient,Swap Threshold,Trade Threshold,Annualized Return,Standard Deviation,Downside Deviation,Max Drawdown,Swap Count,Trade Days Count
30,0.015,0.03,9.57,26.69,22.29,-50.83,2724,1383
0,0.002,0.02,9.55,26.95,22.02,-48.87,3311,1487
20,0.01,0.03,9.55,26.72,22.19,-50.44,2902,1384
30,0.005,0.03,9.54,26.69,22.34,-50.98,3077,1380
10,0.002,0.015,9.53,26.84,22.19,-49.47,3414,1549
5,0.015,0.02,9.52,26.9,21.98,-48.85,2810,1501
50,0.015,0.04,9.52,26.35,21.88,-49.27,2675,1300
10,0.002,0.02,9.51,26.82,22.08,-49.15,3359,1500
70,0.002,0.03,9.51,26.19,21.94,-48.75,3260,1398
50,0.01,0.015,9.51,26.3,21.85,-49.28,3091,1564
80,0.015,0.05,9.5,25.79,21.33,-46.89,2551,1185
50,0.002,0.015,9.5,26.28,21.9,-49.59,3441,1563
30,0.002,0.04,9.49,26.69,22.27,-50.92,3094,1283
5,0.015,0.015,9.48,26.89,21.95,-48.85,2850,1546
30,0.002,0.03,9.48,26.66,22.27,-50.76,3228,1385
10,0.015,0.015,9.47,26.81,22.13,-49.99,2859,1547
150,0.01,0.02,9.46,25.34,21.18,-44.48,2935,1498
60,0.015,0.02,9.45,26.23,21.86,-49.05,2883,1520
0,0.005,0.015,9.44,26.93,22.0,-48.83,3221,1537
10,0.002,0.04,9.44,26.83,22.12,-49.36,3053,1259
80,0.01,0.05,9.43,25.77,21.36,-46.73,2688,1183
30,0.002,0.02,9.43,26.69,22.26,-50.91,3354,1493
20,0.015,0.03,9.42,26.69,22.18,-50.38,2719,1392
90,0.005,0.05,9.42,25.74,21.48,-46.77,2836,1174
15,0.01,0.04,9.41,26.75,22.15,-50.58,2784,1277
30,0.002,0.05,9.41,26.66,22.24,-51.48,2932,1177
100,0.01,0.05,9.4,25.62,21.5,-46.8,2693,1180
10,0.002,0.03,9.4,26.82,22.1,-49.22,3208,1375
0,0.002,0.015,9.39,26.93,22.0,-48.83,3365,1542
30,0.005,0.02,9.39,26.73,22.33,-51.12,3200,1494
15,0.005,0.04,9.38,26.76,22.21,-50.53,2959,1269
5,0.002,0.04,9.38,26.93,22.12,-49.3,3009,1258
100,0.01,0.04,9.38,25.66,21.49,-46.74,2803,1279
50,0.005,0.02,9.37,26.32,21.89,-49.68,3238,1507
5,0.01,0.02,9.37,26.87,22.02,-49.11,2993,1481
30,0.005,0.04,9.36,26.71,22.33,-51.07,2963,1283
50,0.01,0.02,9.34,26.27,21.84,-49.34,3047,1513
90,0.01,0.05,9.32,25.77,21.46,-46.75,2685,1179
70,0.015,0.05,9.32,26.12,21.79,-48.77,2547,1177
5,0.005,0.04,9.32,26.87,22.05,-49.28,2900,1255
5,0.01,0.015,9.29,26.86,21.98,-49.11,3038,1533
10,0.015,0.03,9.27,26.84,22.17,-49.82,2715,1386
150,0.01,0.03,9.27,25.27,21.2,-45.08,2808,1369
150,0.002,0.03,9.26,25.28,21.23,-45.24,3054,1358
0,0.01,0.03,9.25,26.96,21.96,-48.54,2882,1380
150,0.015,0.015,9.24,25.38,21.21,-44.85,2813,1546
150,0.005,0.03,9.23,25.29,21.23,-45.17,2961,1366
30,0.01,0.04,9.23,26.68,22.26,-50.92,2797,1288
50,0.015,0.03,9.23,26.33,21.92,-49.28,2777,1401
90,0.015,0.05,9.21,25.79,21.48,-46.71,2540,1184
15,0.002,0.03,9.17,26.73,22.18,-50.37,3228,1389
5,0.01,0.03,9.17,26.89,22.02,-49.22,2877,1370
40,0.002,0.02,9.15,26.5,22.26,-50.7,3400,1515
70,0.005,0.04,9.14,26.18,21.95,-48.5,2979,1276
70,0.002,0.04,9.13,26.16,21.91,-48.7,3087,1277
30,0.01,0.05,9.13,26.65,22.23,-51.51,2675,1189
50,0.002,0.02,9.12,26.26,21.88,-49.65,3379,1507
5,0.01,0.04,9.1,26.9,22.1,-49.21,2752,1263
50,0.005,0.03,9.09,26.32,21.91,-49.57,3111,1395
50,0.015,0.05,9.09,26.39,21.88,-49.2,2558,1187
10,0.002,0.05,9.08,26.86,22.13,-49.38,2894,1150
15,0.015,0.015,9.06,26.75,22.14,-50.47,2865,1556
150,0.015,0.02,9.05,25.38,21.21,-44.57,2777,1501
50,0.002,0.03,9.04,26.28,21.89,-49.55,3246,1395
30,0.005,0.05,9.03,26.69,22.31,-51.57,2829,1177
15,0.01,0.015,9.02,26.76,22.13,-50.66,3049,1543
50,0.002,0.04,9.01,26.3,21.91,-49.52,3074,1274
50,0.01,0.04,9.01,26.32,21.88,-49.37,2784,1274
100,0.015,0.05,8.98,25.65,21.47,-46.8,2537,1176
70,0.01,0.05,8.97,26.14,21.81,-48.7,2651,1167
30,0.015,0.04,8.95,26.7,22.28,-51.0,2624,1283
60,0.005,0.05,8.95,26.19,21.81,-49.03,2788,1153
20,0.01,0.05,8.95,26.7,22.11,-51.09,2657,1183
5,0.015,0.03,8.95,26.93,21.97,-49.08,2697,1393
100,0.015,0.04,8.95,25.67,21.48,-46.64,2628,1280
150,0.005,0.04,8.95,25.33,21.32,-45.17,2845,1255
0,0.002,0.05,8.95,27.03,22.11,-49.42,2832,1140
10,0.015,0.04,8.94,26.8,22.19,-50.22,2594,1271
15,0.002,0.05,8.94,26.81,22.3,-50.82,2928,1167
15,0.015,0.04,8.94,26.73,22.13,-50.46,2622,1281
50,0.002,0.05,8.93,26.33,21.89,-49.62,2926,1166
40,0.002,0.04,8.93,26.51,22.24,-50.61,3099,1276
15,0.01,0.02,8.93,26.78,22.15,-50.66,3002,1493
15,0.005,0.02,8.93,26.79,22.19,-50.59,3209,1495
60,0.002,0.05,8.93,26.21,21.84,-49.0,2898,1156
50,0.005,0.04,8.92,26.35,21.91,-49.54,2943,1271
